,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Current Price,Shares Outstanding,Status
178,N/A,N/A,ipg,N/A,N/A,N/A,N/A,N/A,214.93,10.035294117647059,N/A,2.62,7.78,12.90,4.26,26.15,22.21,6646746599.999999,11680000000.0,10.34,31.60,1.36,8.41,8630000000.0,1810000000.0,1390000000.0,668700000.0,1.70,20.83,20.83,1530000000.0,3.99,5870000000.0,0.97,6.50,1350000000.0,1.06,0.65,104.02,18690000.0,3.65,7.42,22850000.0,17.06,389610000.0,N/A
179,N/A,N/A,ir,N/A,N/A,N/A,N/A,N/A,41.55,86.24242424242424,N/A,1.36,2.86,11.45,1.89,1.43,11.83,11856151400.0,15010000000.0,18.85,1.73,5.70,29.65,2450000000.0,911700000.0,506200000.0,75200000.0,0.33,29.00,29.00,343300000.0,1.33,3640000000.0,2.11,20.85,342900000.0,1.46,0.36,61.82,14210000.0,3.71,4.11,14860000.0,28.46,416590000.0,N/A
180,N/A,N/A,irm,N/A,N/A,N/A,N/A,N/A,914.75,24.914285714285715,N/A,6.70,7.05,19.12,3.75,20.04,14.89,7530940800.0,18290000000.0,22.36,3.85,4.28,12.63,4260000000.0,2430000000.0,1450000000.0,301660000.0,1.05,120.20,1.40,966650000.0,0.53,10850000000.0,0.76,3.90,120.20,0.69,0.96,87.56,56070000.0,17.18,26.90,54640000.0,26.16,287880000.0,N/A
181,N/A,N/A,itw,N/A,N/A,N/A,N/A,N/A,336.86,22.675324675324674,N/A,24.16,18.06,24.27,14.19,90.81,42.86,55161378000.0,61430000000.0,26.41,199.06,4.46,16.32,14110000000.0,5920000000.0,3760000000.0,2490000000.0,7.70,41.97,41.97,2560000000.0,4.53,7690000000.0,2.71,7.23,2990000000.0,1.17,0.21,82.28,9130000.0,7.19,3.09,9150000.0,174.60,315930000.0,N/A
182,N/A,N/A,ivz,N/A,N/A,N/A,N/A,N/A,20.84,10.242718446601943,N/A,0.51,10.02,25.11,2.95,5.66,14.41,4841395000.0,11450000000.0,6.36,1.76,1.76,6.28,6120000000.0,2029999999.9999998,1820000000.0,468500000.0,1.03,31.60,31.60,1120000000.0,2.11,2940000000.0,9.17,20.68,1160000000.0,1.46,1.59,89.05,32549999.999999996,3.75,8.69,26900000.0,10.55,458900000.0,N/A
183,N/A,N/A,jbl,N/A,N/A,N/A,N/A,N/A,189.54,125.8,N/A,2.90,0.15,2.73,3.48,2.37,174.27,4735426500.0,7090000000.0,8.83,1.06,0.27,4.89,25280000000.0,1910000000.0,1450000000.0,38860000.0,0.25,3.30,3.30,1190000000.0,5.18,3120000000.0,0.94,10.84,1650000000.0,1.23,8.57,91.48,3220000.0,2.56,2.20,3810000.0,31.45,150570000.0,N/A
184,N/A,N/A,jci,N/A,N/A,N/A,N/A,N/A,42.76,5.299382716049383,N/A,1.41,21.80,8.05,2.69,6.47,29.85,25544152400.000004,33710000000.0,15.68,2.01,1.42,12.35,23970000000.0,7690000000.0,2730000000.0,1120000000.0,6.48,32.55,32.55,1200000000.0,1.35,8160000000.0,1.05,24.31,1050000000.0,1.19,0.22,94.11,12460000.0,2.02,1.89,11410000.0,34.34,743860000.0,N/A
185,N/A,N/A,jnj,N/A,N/A,N/A,N/A,N/A,45.00,21.99219968798752,N/A,6.05,20.75,26.06,8.83,28.55,31.36,372160800000.0,380960000000.0,15.58,3.80,4.61,13.34,82060000000.0,54600000000.0,28550000000.0,17170000000.000002,6.41,56.10,3.30,23420000000.0,6.84,27580000000.0,1.31,23.28,23230000000.0,0.7,0.08,70.25,13760000.0,1.77,0.52,16280000.000000002,140.97,2640000000.0,N/A
186,N/A,N/A,jnpr,N/A,N/A,N/A,N/A,N/A,42.51,23.237113402061855,N/A,1.70,7.53,10.91,3.41,7.23,13.11,7468629000.0,7410000000.0,12.59,1.67,1.67,10.46,4450000000.0,2620000000.0,708400000.0,334300000.0,0.97,58.85,58.85,528900000.0,5.82,1870000000.0,1.93,13.27,641700000.0,0.97,1.22,96.01,15790000.0,4.96,6.61,14110000.0,22.54,331350000.0,N/A
187,N/A,N/A,jwn,N/A,N/A,N/A,N/A,N/A,91.29,8.707865168539326,N/A,6.10,105340000.0,2.07,1.90,5590000000.0,91.29,2433965000.0,7220000000.0,8.71,1.27,0.51,7.46,15520000000.0,5590000000.0,6140000000.0,1.78,1.78,33.39,33.39,1240000000.0,8.63,6140000000.0,0.96,2.54,33.39,1.37,32.72,73.73,35990000.0,3.2,28.83,35090000.0,15.50,157030000.0,N/A
188,N/A,N/A,k,N/A,N/A,N/A,N/A,N/A,283.56,22.17725752508361,N/A,8.50,7.61,12.86,5.90,33.03,39.50,22722447700.0,31350000000.0,17.05,9.80,2.33,14.19,13580000000.0,4430000000.0,2210000000.0,1020000000.0,2.99,23.20,33.12,1180000000.0,2.96,9110000000.0,0.77,7.80,1500000000.0,0.58,0.69,89.77,11410000.0,4.69,4.16,11140000.0,66.31,342670000.0,N/A
189,N/A,N/A,kim,N/A,N/A,N/A,N/A,N/A,118.60,17.013333333333332,N/A,1.15,33.33,38.96,2.51,7.51,2.73,5518955200.0,10950000000.0,20.58,4.87,9.49,15.56,1160000000.0,821930000.0,703480000.0,319440000.0,0.75,70.62,70.62,583630000.0,1.04,5800000000.0,5.32,11.12,583620000.0,1.2,2.75,93.66,17350000.0,1.69,5.09,15840000.0,12.76,432520000.0,N/A
190,N/A,N/A,klac,N/A,N/A,N/A,N/A,N/A,152.24,30.609034267912772,N/A,13.20,18.26,29.50,11.46,39.23,35.44,30468875500.0,32390000000.0,19.50,1.54,5.78,15.80,4570000000.0,2700000000.0,2049999999.9999998,1020000000.0,6.42,29.80,29.80,1150000000.0,10.54,3540000000.0,2.61,14.88,1650000000.0,1.34,0.28,96.45,3500000.0,2.59,2.56,3820000.0,196.51,155050000.0,N/A
191,N/A,N/A,kmb,N/A,N/A,N/A,N/A,N/A,54.91,20.905109489051096,N/A,45.40,12.55,18.27,13.92,6450000000.0,54.91,48766759999.99999,56480000000.0,18.55,3.48,3.00,13.77,18450000000.0,6450000000.0,4099999999.9999995,2360000000.0,6.85,46.60,8.10,2740000000.0,2.88,8480000000.0,0.87,45.40,3120000000.0,0.5,0.34,76.42,6080000.0,3.62,1.80,5760000.0,143.20,340550000.0,N/A
192,N/A,N/A,kmi,N/A,N/A,N/A,N/A,N/A,102.05,26.06896551724138,N/A,1.03,10.31,29.90,3.22,3.98,5.69,34171200000.0,69820000000.0,16.43,42.53,5.42,11.20,13210000000.0,7360000000.0,6230000000.0,1320000000.0,0.58,56.61,56.61,4750000000.0,0.22,34960000000.0,0.55,14.64,5010000000.0,1.01,13.77,64.36,22370000.0,1.54,1.15,22450000.0,15.12,2260000000.0,N/A
193,N/A,N/A,kmx,N/A,N/A,N/A,N/A,N/A,430.67,23.54089709762533,N/A,4.06,3.25,4.46,2.71,17.83,117.75,14549997600.0,29300000000.0,17.06,2.28,1.52,27.05,21420000000.0,3180000000.0,1080000000.0,626670000.0,3.79,14.12,14.12,1150000000.0,4.03,15410000000.0,2.85,21.99,969750000.0,1.71,0.42,102.56,14400000.0,8.8,9.99,15230000.0,89.22,163080000.0,N/A
194,N/A,N/A,ko,N/A,N/A,N/A,N/A,N/A,254.19,19.3448275862069,N/A,10.61,26.95,28.69,7.31,50.85,8.68,192535200000.0,227170000000.0,21.37,11.66,6.11,18.74,37270000000.0,22650000000.0,12120000000.0,10020000000.0,2.32,64.10,60.66,10470000000.0,4.12,50420000000.0,0.87,4.23,10240000000.0,0.55,0.70,70.00,24070000.0,1.18,0.56,29220000.0,44.88,4290000000.0,N/A
195,N/A,N/A,kr,N/A,N/A,N/A,N/A,N/A,221.30,12.934362934362936,N/A,2.79,1.66,2.51,4.35,21.96,159.32,26060655000.0,43950000000.0,13.04,1.93,0.35,7.38,122290000000.0,27850000000.0,5950000000.0,2069999999.9999998,2.59,60.00,11.50,4660000000.0,3.5,20640000000.0,0.83,12.03,6640000000.0,0.38,5.89,84.40,54880000.0,5.5,7.03,54730000.0,33.50,777930000.0,N/A
196,N/A,N/A,kss,N/A,N/A,N/A,N/A,N/A,160.50,36.74999999999999,N/A,0.68,0.48,2.08,1.57,1.72,117.97,3246289199.9999995,8900000000.0,12.86,0.67,0.49,6.87,19970000000.0,7830000000.0,1290000000.0,0.56,0.56,37.14,37.14,1660000000.0,12.93,7690000000.0,1.88,30.32,1570000000.0,1.76,1.14,100.66,20010000.0,1.41,14.44,21700000.0,20.58,157740000.0,N/A
197,N/A,N/A,ksu,N/A,N/A,N/A,N/A,N/A,69.20,24.694630872483224,N/A,3.15,20.11,38.39,7.23,11.90,29.79,13985043600.0,17530000000.0,18.35,2.14,6.00,11.89,2870000000.0,1420000000.0,1470000000.0,587700000.0,5.96,54.90,8.40,1100000000.0,0.96,3300000000.0,1.32,46.65,1110000000.0,0.93,0.50,96.10,1710000.0,1.62,2.04,2020000.0,147.18,95020000.0,N/A
198,N/A,N/A,leg,N/A,N/A,N/A,N/A,N/A,211.84,14.550847457627121,N/A,3.67,6.86,10.80,6.31,26.17,34.38,4542495200.0,6660000000.0,16.20,5.28,1.43,9.72,4750000000.0,1050000000.0,685600000.0,318300000.0,2.36,22.35,22.35,731100000.0,3.82,2620000000.0,2.09,9.36,22.35,1.57,1.18,75.32,5500000.0,3.03,5.36,6360000.0,34.34,132280000.0,N/A
199,N/A,N/A,len,N/A,N/A,N/A,N/A,N/A,45.07,9.061746987951809,N/A,1.12,9.30,11.95,5.74,13.12,72.30,16523885400.0,24740000000.0,9.48,3.12,1.09,8.85,22260000000.0,4520000000.0,2800000000.0,2089999999.9999998,6.64,27.40,20.78,1480000000.0,4.54,7500000000.0,19.02,53.65,27.40,1.59,2.07,98.93,8770000.0,2.17,3.67,10690000.0,60.17,274620000.0,N/A
200,N/A,N/A,lh,N/A,N/A,N/A,N/A,N/A,101.12,52.07033639143731,N/A,2.36,2.77,12.03,5.08,4.55,118.78,16550244000.000002,23350000000.0,12.70,2.42,2.02,12.41,11550000000.0,3250000000.0,1880000000.0,3.27,3.27,1.20,1.20,1440000000.0,3.46,7120000000.0,1.18,72.30,1480000000.0,1.39,0.64,95.73,1840000.0,2.37,2.14,1700000.0,170.27,97200000.0,N/A
